municipio;provincia;fecha;horario;temperatura_actual;probabilidad_precipitacion;temperatura_minima;temperatura_maxima;
Erandio;Bizkaia;dom 11;12–18 h;15°C;90% ;13;21;;
Erandio;Bizkaia;dom 11;18–24 h;14°C;100% ;13;21;;
Erandio;Bizkaia;dom 11;00–12 h;;95% ;13;21;;
Erandio;Bizkaia;lun 12;12–24 h;;100% ;11;16;;
Erandio;Bizkaia;mar 13;00–12 h;;55% ;8;17;;
Erandio;Bizkaia;mar 13;12–24 h;;5% ;8;17;;
Erandio;Bizkaia;mié 14; ;;0% ;8;21;;
Erandio;Bizkaia;jue 15; ;;0% ;11;22;;
Erandio;Bizkaia;vie 16; ;;0% ;11;21;;
Ermua;Bizkaia;sáb 10;18–24 h;13°C;25% ;12;20;;
Ermua;Bizkaia;dom 11;00–06 h;15°C;5% ;13;19;;
Ermua;Bizkaia;dom 11;06–12 h;19°C;35% ;13;19;;
Ermua;Bizkaia;dom 11;12–18 h;14°C;85% ;13;19;;
Ermua;Bizkaia;dom 11;18–24 h;13°C;85% ;13;19;;
Ermua;Bizkaia;dom 11;00–12 h;;80% ;13;19;;
Ermua;Bizkaia;lun 12;12–24 h;;95% ;10;14;;
Ermua;Bizkaia;mar 13;00–12 h;;70% ;8;15;;
Ermua;Bizkaia;mar 13;12–24 h;;0% ;8;15;;
Ermua;Bizkaia;mié 14; ;;0% ;9;20;;
Ermua;Bizkaia;jue 15; ;;5% ;12;20;;
Ermua;Bizkaia;vie 16; ;;0% ;11;20;;
Etxebarri;Bizkaia;sáb 10;18–24 h;15°C;10% ;11;22;;
Etxebarri;Bizkaia;dom 11;00–06 h;16°C;5% ;13;22;;
Etxebarri;Bizkaia;dom 11;06–12 h;20°C;40% ;13;22;;
Etxebarri;Bizkaia;dom 11;12–18 h;15°C;85% ;13;22;;
Etxebarri;Bizkaia;dom 11;18–24 h;14°C;95% ;13;22;;
Etxebarri;Bizkaia;dom 11;00–12 h;;90% ;13;22;;
Etxebarri;Bizkaia;lun 12;12–24 h;;100% ;11;16;;
Etxebarri;Bizkaia;mar 13;00–12 h;;65% ;8;17;;
Etxebarri;Bizkaia;mar 13;12–24 h;;5% ;8;17;;
Etxebarri;Bizkaia;mié 14; ;;0% ;8;22;;
Etxebarri;Bizkaia;jue 15; ;;0% ;11;22;;
Etxebarri;Bizkaia;vie 16; ;;5% ;9;22;;
Galdakao;Bizkaia;sáb 10;18–24 h;14°C;10% ;11;22;;
Galdakao;Bizkaia;dom 11;00–06 h;15°C;0% ;13;21;;
Galdakao;Bizkaia;dom 11;06–12 h;19°C;40% ;13;21;;
Galdakao;Bizkaia;dom 11;12–18 h;15°C;90% ;13;21;;
Galdakao;Bizkaia;dom 11;18–24 h;13°C;95% ;13;21;;
Galdakao;Bizkaia;dom 11;00–12 h;;90% ;13;21;;
Galdakao;Bizkaia;lun 12;12–24 h;;100% ;11;15;;
Galdakao;Bizkaia;mar 13;00–12 h;;65% ;8;16;;
Galdakao;Bizkaia;mar 13;12–24 h;;5% ;8;16;;
Galdakao;Bizkaia;mié 14; ;;0% ;8;22;;
Galdakao;Bizkaia;jue 15; ;;0% ;11;22;;
Galdakao;Bizkaia;vie 16; ;;5% ;9;21;;
Gernika-Lumo;Bizkaia;sáb 10;18–24 h;13°C;25% ;11;20;;
Gernika-Lumo;Bizkaia;dom 11;00–06 h;14°C;0% ;12;21;;
Gernika-Lumo;Bizkaia;dom 11;06–12 h;19°C;35% ;12;21;;
Gernika-Lumo;Bizkaia;dom 11;12–18 h;15°C;90% ;12;21;;
Gernika-Lumo;Bizkaia;dom 11;18–24 h;12°C;100% ;12;21;;
Gernika-Lumo;Bizkaia;dom 11;00–12 h;;90% ;12;21;;
Gernika-Lumo;Bizkaia;lun 12;12–24 h;;95% ;10;15;;
Gernika-Lumo;Bizkaia;mar 13;00–12 h;;75% ;8;16;;
Gernika-Lumo;Bizkaia;mar 13;12–24 h;;0% ;8;16;;
Gernika-Lumo;Bizkaia;mié 14; ;;0% ;8;21;;
Gernika-Lumo;Bizkaia;jue 15; ;;0% ;12;21;;
Gernika-Lumo;Bizkaia;vie 16; ;;0% ;10;20;;
Getxo;Bizkaia;sáb 10;18–24 h;14°C;5% ;11;19;;
Getxo;Bizkaia;dom 11;00–06 h;15°C;0% ;13;20;;
Getxo;Bizkaia;dom 11;06–12 h;18°C;35% ;13;20;;
Getxo;Bizkaia;dom 11;12–18 h;15°C;90% ;13;20;;
Getxo;Bizkaia;dom 11;18–24 h;13°C;100% ;13;20;;
Getxo;Bizkaia;dom 11;00–12 h;;95% ;13;20;;
Getxo;Bizkaia;lun 12;12–24 h;;100% ;12;15;;
Getxo;Bizkaia;mar 13;00–12 h;;55% ;9;16;;
Getxo;Bizkaia;mar 13;12–24 h;;5% ;9;16;;
Getxo;Bizkaia;mié 14; ;;0% ;9;20;;
Getxo;Bizkaia;jue 15; ;;0% ;12;20;;
Getxo;Bizkaia;vie 16; ;;0% ;11;19;;
Leioa;Bizkaia;sáb 10;18–24 h;15°C;5% ;11;20;;
Leioa;Bizkaia;dom 11;00–06 h;16°C;0% ;13;21;;
Leioa;Bizkaia;dom 11;06–12 h;19°C;35% ;13;21;;
Leioa;Bizkaia;dom 11;12–18 h;15°C;90% ;13;21;;
Leioa;Bizkaia;dom 11;18–24 h;14°C;100% ;13;21;;
Leioa;Bizkaia;dom 11;00–12 h;;95% ;13;21;;
Leioa;Bizkaia;lun 12;12–24 h;;100% ;12;15;;
Leioa;Bizkaia;mar 13;00–12 h;;55% ;8;16;;
Leioa;Bizkaia;mar 13;12–24 h;;5% ;8;16;;
Leioa;Bizkaia;mié 14; ;;0% ;8;20;;
Leioa;Bizkaia;jue 15; ;;0% ;12;21;;
Leioa;Bizkaia;vie 16; ;;0% ;11;20;;
Mungia;Bizkaia;sáb 10;18–24 h;15°C;20% ;11;20;;
Mungia;Bizkaia;dom 11;00–06 h;16°C;0% ;13;21;;
Mungia;Bizkaia;dom 11;06–12 h;19°C;35% ;13;21;;
Mungia;Bizkaia;dom 11;12–18 h;15°C;95% ;13;21;;
Mungia;Bizkaia;dom 11;18–24 h;13°C;100% ;13;21;;
Mungia;Bizkaia;dom 11;00–12 h;;95% ;13;21;;
Mungia;Bizkaia;lun 12;12–24 h;;100% ;11;15;;
Mungia;Bizkaia;mar 13;00–12 h;;70% ;9;16;;
Mungia;Bizkaia;mar 13;12–24 h;;5% ;9;16;;
Mungia;Bizkaia;mié 14; ;;0% ;9;21;;
Mungia;Bizkaia;jue 15; ;;0% ;12;21;;
Mungia;Bizkaia;vie 16; ;;0% ;11;21;;
Portugalete;Bizkaia;sáb 10;18–24 h;15°C;5% ;11;20;;
Portugalete;Bizkaia;dom 11;00–06 h;16°C;0% ;13;20;;
Portugalete;Bizkaia;dom 11;06–12 h;18°C;35% ;13;20;;
Portugalete;Bizkaia;dom 11;12–18 h;15°C;90% ;13;20;;
Portugalete;Bizkaia;dom 11;18–24 h;13°C;100% ;13;20;;
Portugalete;Bizkaia;dom 11;00–12 h;;95% ;13;20;;
Portugalete;Bizkaia;lun 12;12–24 h;;100% ;11;15;;
Portugalete;Bizkaia;mar 13;00–12 h;;55% ;8;16;;
Portugalete;Bizkaia;mar 13;12–24 h;;5% ;8;16;;
Portugalete;Bizkaia;mié 14; ;;0% ;8;20;;
Portugalete;Bizkaia;jue 15; ;;0% ;12;21;;
Portugalete;Bizkaia;vie 16; ;;0% ;11;20;;
Santurtzi;Bizkaia;sáb 10;18–24 h;14°C;5% ;11;20;;
Santurtzi;Bizkaia;dom 11;00–06 h;16°C;0% ;13;20;;
Santurtzi;Bizkaia;dom 11;06–12 h;18°C;35% ;13;20;;
Santurtzi;Bizkaia;dom 11;12–18 h;15°C;90% ;13;20;;
Santurtzi;Bizkaia;dom 11;18–24 h;13°C;100% ;13;20;;
Santurtzi;Bizkaia;dom 11;00–12 h;;95% ;13;20;;
Santurtzi;Bizkaia;lun 12;12–24 h;;100% ;11;15;;
Santurtzi;Bizkaia;mar 13;00–12 h;;55% ;9;16;;
Santurtzi;Bizkaia;mar 13;12–24 h;;5% ;9;16;;
Santurtzi;Bizkaia;mié 14; ;;0% ;9;20;;
Santurtzi;Bizkaia;jue 15; ;;0% ;12;21;;
Santurtzi;Bizkaia;vie 16; ;;0% ;11;20;;
Sestao;Bizkaia;sáb 10;18–24 h;15°C;5% ;11;21;;
Sestao;Bizkaia;dom 11;00–06 h;16°C;0% ;13;21;;
Sestao;Bizkaia;dom 11;06–12 h;19°C;35% ;13;21;;
Sestao;Bizkaia;dom 11;12–18 h;15°C;90% ;13;21;;
Sestao;Bizkaia;dom 11;18–24 h;14°C;100% ;13;21;;
Sestao;Bizkaia;dom 11;00–12 h;;95% ;13;21;;
Sestao;Bizkaia;lun 12;12–24 h;;100% ;12;15;;
Sestao;Bizkaia;mar 13;00–12 h;;55% ;8;16;;
Sestao;Bizkaia;mar 13;12–24 h;;5% ;8;16;;
Sestao;Bizkaia;mié 14; ;;0% ;8;21;;
Sestao;Bizkaia;jue 15; ;;0% ;11;21;;
Sestao;Bizkaia;vie 16; ;;0% ;11;21;;
Sopela;Bizkaia;sáb 10;18–24 h;15°C;10% ;11;19;;
Sopela;Bizkaia;dom 11;00–06 h;16°C;0% ;13;20;;
Sopela;Bizkaia;dom 11;06–12 h;18°C;30% ;13;20;;
Sopela;Bizkaia;dom 11;12–18 h;15°C;90% ;13;20;;
Sopela;Bizkaia;dom 11;18–24 h;13°C;100% ;13;20;;
Sopela;Bizkaia;dom 11;00–12 h;;95% ;13;20;;
Sopela;Bizkaia;lun 12;12–24 h;;100% ;12;15;;
Sopela;Bizkaia;mar 13;00–12 h;;60% ;9;15;;
Sopela;Bizkaia;mar 13;12–24 h;;5% ;9;15;;
Sopela;Bizkaia;mié 14; ;;0% ;9;20;;
Sopela;Bizkaia;jue 15; ;;0% ;12;20;;
Sopela;Bizkaia;vie 16; ;;0% ;11;19;;
Valle de Trápaga-Trapagaran;Bizkaia;sáb 10;18–24 h;14°C;5% ;11;20;;
Valle de Trápaga-Trapagaran;Bizkaia;dom 11;00–06 h;15°C;0% ;13;20;;
Valle de Trápaga-Trapagaran;Bizkaia;dom 11;06–12 h;18°C;35% ;13;20;;
Valle de Trápaga-Trapagaran;Bizkaia;dom 11;12–18 h;15°C;90% ;13;20;;
Valle de Trápaga-Trapagaran;Bizkaia;dom 11;18–24 h;13°C;100% ;13;20;;
Valle de Trápaga-Trapagaran;Bizkaia;dom 11;00–12 h;;95% ;13;20;;
Valle de Trápaga-Trapagaran;Bizkaia;lun 12;12–24 h;;100% ;11;15;;
Valle de Trápaga-Trapagaran;Bizkaia;mar 13;00–12 h;;55% ;8;15;;
Valle de Trápaga-Trapagaran;Bizkaia;mar 13;12–24 h;;5% ;8;15;;
Valle de Trápaga-Trapagaran;Bizkaia;mié 14; ;;0% ;9;20;;
Valle de Trápaga-Trapagaran;Bizkaia;jue 15; ;;0% ;12;20;;
Valle de Trápaga-Trapagaran;Bizkaia;vie 16; ;;0% ;11;20;;
Alfoz de Quintanadueñas;Burgos;sáb 10;18–24 h;9°C;45% ;8;14;;
Alfoz de Quintanadueñas;Burgos;dom 11;00–06 h;10°C;50% ;8;14;;
Alfoz de Quintanadueñas;Burgos;dom 11;06–12 h;13°C;70% ;8;14;;
Alfoz de Quintanadueñas;Burgos;dom 11;12–18 h;10°C;100% ;8;14;;
Alfoz de Quintanadueñas;Burgos;dom 11;18–24 h;8°C;95% ;8;14;;
Alfoz de Quintanadueñas;Burgos;dom 11;00–12 h;;95% ;8;14;;
Alfoz de Quintanadueñas;Burgos;lun 12;12–24 h;;90% ;7;13;;
Alfoz de Quintanadueñas;Burgos;mar 13;00–12 h;;5% ;4;13;;
Alfoz de Quintanadueñas;Burgos;mar 13;12–24 h;;0% ;4;13;;
Alfoz de Quintanadueñas;Burgos;mié 14; ;;0% ;4;18;;
Alfoz de Quintanadueñas;Burgos;jue 15; ;;15% ;6;17;;
Alfoz de Quintanadueñas;Burgos;vie 16; ;;5% ;4;17;;
Aranda de Duero;Burgos;sáb 10;18–24 h;10°C;25% ;8;14;;
Aranda de Duero;Burgos;dom 11;00–06 h;9°C;70% ;9;15;;
Aranda de Duero;Burgos;dom 11;06–12 h;14°C;85% ;9;15;;
Aranda de Duero;Burgos;dom 11;12–18 h;12°C;90% ;9;15;;
Aranda de Duero;Burgos;dom 11;18–24 h;10°C;55% ;9;15;;
Aranda de Duero;Burgos;dom 11;00–12 h;;95% ;9;15;;
Aranda de Duero;Burgos;lun 12;12–24 h;;85% ;6;14;;
Aranda de Duero;Burgos;mar 13;00–12 h;;5% ;5;17;;
Aranda de Duero;Burgos;mar 13;12–24 h;;0% ;5;17;;
Aranda de Duero;Burgos;mié 14; ;;0% ;6;17;;
Aranda de Duero;Burgos;jue 15; ;;20% ;7;16;;
Aranda de Duero;Burgos;vie 16; ;;5% ;8;17;;
Arcos;Burgos;sáb 10;18–24 h;9°C;55% ;8;14;;
Arcos;Burgos;dom 11;00–06 h;10°C;55% ;8;14;;
Arcos;Burgos;dom 11;06–12 h;13°C;75% ;8;14;;
Arcos;Burgos;dom 11;12–18 h;10°C;100% ;8;14;;
Arcos;Burgos;dom 11;18–24 h;8°C;90% ;8;14;;
Arcos;Burgos;dom 11;00–12 h;;90% ;8;14;;
Arcos;Burgos;lun 12;12–24 h;;90% ;7;13;;
Arcos;Burgos;mar 13;00–12 h;;5% ;5;14;;
Arcos;Burgos;mar 13;12–24 h;;0% ;5;14;;
Arcos;Burgos;mié 14; ;;0% ;6;17;;
Arcos;Burgos;jue 15; ;;10% ;7;17;;
Arcos;Burgos;vie 16; ;;0% ;5;17;;
Belorado;Burgos;sáb 10;18–24 h;10°C;15% ;9;14;;
Belorado;Burgos;dom 11;00–06 h;10°C;35% ;9;15;;
Belorado;Burgos;dom 11;06–12 h;14°C;55% ;9;15;;
Belorado;Burgos;dom 11;12–18 h;11°C;100% ;9;15;;
Belorado;Burgos;dom 11;18–24 h;10°C;75% ;9;15;;
Belorado;Burgos;dom 11;00–12 h;;90% ;9;15;;
Belorado;Burgos;lun 12;12–24 h;;95% ;7;14;;
Belorado;Burgos;mar 13;00–12 h;;70% ;5;13;;
Belorado;Burgos;mar 13;12–24 h;;0% ;5;13;;
Belorado;Burgos;mié 14; ;;0% ;5;16;;
Belorado;Burgos;jue 15; ;;20% ;5;16;;
Belorado;Burgos;vie 16; ;;5% ;4;15;;
Briviesca;Burgos;sáb 10;18–24 h;9°C;5% ;8;15;;
Briviesca;Burgos;dom 11;00–06 h;10°C;35% ;8;15;;
Briviesca;Burgos;dom 11;06–12 h;14°C;55% ;8;15;;
Briviesca;Burgos;dom 11;12–18 h;11°C;100% ;8;15;;
Briviesca;Burgos;dom 11;18–24 h;9°C;90% ;8;15;;
Briviesca;Burgos;dom 11;00–12 h;;90% ;8;15;;
Briviesca;Burgos;lun 12;12–24 h;;95% ;7;14;;
Briviesca;Burgos;mar 13;00–12 h;;65% ;4;12;;
Briviesca;Burgos;mar 13;12–24 h;;0% ;4;12;;
Briviesca;Burgos;mié 14; ;;0% ;5;15;;
Briviesca;Burgos;jue 15; ;;25% ;6;16;;
Briviesca;Burgos;vie 16; ;;5% ;5;14;;
Burgos;Burgos;sáb 10;18–24 h;9°C;45% ;8;14;;
Burgos;Burgos;dom 11;00–06 h;10°C;50% ;8;14;;
Burgos;Burgos;dom 11;06–12 h;13°C;70% ;8;14;;
Burgos;Burgos;dom 11;12–18 h;10°C;100% ;8;14;;
Burgos;Burgos;dom 11;18–24 h;8°C;95% ;8;14;;
Burgos;Burgos;dom 11;00–12 h;;95% ;8;14;;
Burgos;Burgos;lun 12;12–24 h;;90% ;7;13;;
Burgos;Burgos;mar 13;00–12 h;;5% ;5;13;;
Burgos;Burgos;mar 13;12–24 h;;0% ;5;13;;
Burgos;Burgos;mié 14; ;;0% ;5;17;;
Burgos;Burgos;jue 15; ;;15% ;6;17;;
Burgos;Burgos;vie 16; ;;5% ;4;17;;
Espinosa de los Monteros;Burgos;sáb 10;18–24 h;9°C;0% ;9;16;;
Espinosa de los Monteros;Burgos;dom 11;00–06 h;11°C;10% ;8;15;;
Espinosa de los Monteros;Burgos;dom 11;06–12 h;14°C;45% ;8;15;;
Espinosa de los Monteros;Burgos;dom 11;12–18 h;11°C;90% ;8;15;;
Espinosa de los Monteros;Burgos;dom 11;18–24 h;9°C;100% ;8;15;;
Espinosa de los Monteros;Burgos;dom 11;00–12 h;;100% ;8;15;;
Espinosa de los Monteros;Burgos;lun 12;12–24 h;;90% ;7;13;;
Espinosa de los Monteros;Burgos;mar 13;00–12 h;;45% ;5;13;;
Espinosa de los Monteros;Burgos;mar 13;12–24 h;;0% ;5;13;;
Espinosa de los Monteros;Burgos;mié 14; ;;0% ;6;16;;
Espinosa de los Monteros;Burgos;jue 15; ;;5% ;7;16;;
Espinosa de los Monteros;Burgos;vie 16; ;;5% ;6;15;;
Ibeas de Juarros;Burgos;sáb 10;18–24 h;8°C;50% ;7;13;;
Ibeas de Juarros;Burgos;dom 11;00–06 h;9°C;50% ;8;14;;
Ibeas de Juarros;Burgos;dom 11;06–12 h;13°C;70% ;8;14;;
Ibeas de Juarros;Burgos;dom 11;12–18 h;10°C;100% ;8;14;;
Ibeas de Juarros;Burgos;dom 11;18–24 h;9°C;90% ;8;14;;
Ibeas de Juarros;Burgos;dom 11;00–12 h;;90% ;8;14;;
Ibeas de Juarros;Burgos;lun 12;12–24 h;;95% ;7;13;;
Ibeas de Juarros;Burgos;mar 13;00–12 h;;15% ;5;13;;
Ibeas de Juarros;Burgos;mar 13;12–24 h;;0% ;5;13;;
Ibeas de Juarros;Burgos;mié 14; ;;0% ;5;17;;
Ibeas de Juarros;Burgos;jue 15; ;;25% ;6;16;;
Ibeas de Juarros;Burgos;vie 16; ;;5% ;5;16;;
Lerma;Burgos;sáb 10;18–24 h;9°C;45% ;8;13;;
Lerma;Burgos;dom 11;00–06 h;10°C;55% ;9;13;;
Lerma;Burgos;dom 11;06–12 h;12°C;75% ;9;13;;
Lerma;Burgos;dom 11;12–18 h;11°C;100% ;9;13;;
Lerma;Burgos;dom 11;18–24 h;9°C;80% ;9;13;;
Lerma;Burgos;dom 11;00–12 h;;100% ;9;13;;
Lerma;Burgos;lun 12;12–24 h;;95% ;7;13;;
Lerma;Burgos;mar 13;00–12 h;;5% ;5;17;;
Lerma;Burgos;mar 13;12–24 h;;0% ;5;17;;
Lerma;Burgos;mié 14; ;;0% ;8;17;;
Lerma;Burgos;jue 15; ;;10% ;8;17;;
Lerma;Burgos;vie 16; ;;0% ;8;17;;
Medina de Pomar;Burgos;sáb 10;18–24 h;9°C;5% ;8;18;;
Medina de Pomar;Burgos;dom 11;00–06 h;12°C;15% ;8;17;;
Medina de Pomar;Burgos;dom 11;06–12 h;16°C;40% ;8;17;;
Medina de Pomar;Burgos;dom 11;12–18 h;12°C;100% ;8;17;;
Medina de Pomar;Burgos;dom 11;18–24 h;9°C;100% ;8;17;;
Medina de Pomar;Burgos;dom 11;00–12 h;;95% ;8;17;;
Medina de Pomar;Burgos;lun 12;12–24 h;;95% ;6;15;;
Medina de Pomar;Burgos;mar 13;00–12 h;;50% ;4;16;;
Medina de Pomar;Burgos;mar 13;12–24 h;;0% ;4;16;;
Medina de Pomar;Burgos;mié 14; ;;0% ;5;17;;
Medina de Pomar;Burgos;jue 15; ;;5% ;7;18;;
Medina de Pomar;Burgos;vie 16; ;;0% ;6;17;;
Melgar de Fernamental;Burgos;sáb 10;18–24 h;9°C;5% ;8;15;;
Melgar de Fernamental;Burgos;dom 11;00–06 h;10°C;45% ;7;14;;
Melgar de Fernamental;Burgos;dom 11;06–12 h;13°C;70% ;7;14;;
Melgar de Fernamental;Burgos;dom 11;12–18 h;10°C;100% ;7;14;;
Melgar de Fernamental;Burgos;dom 11;18–24 h;8°C;100% ;7;14;;
Melgar de Fernamental;Burgos;dom 11;00–12 h;;100% ;7;14;;
Melgar de Fernamental;Burgos;lun 12;12–24 h;;85% ;6;12;;
Melgar de Fernamental;Burgos;mar 13;00–12 h;;0% ;4;15;;
Melgar de Fernamental;Burgos;mar 13;12–24 h;;0% ;4;15;;
Melgar de Fernamental;Burgos;mié 14; ;;0% ;3;17;;
Melgar de Fernamental;Burgos;jue 15; ;;20% ;5;17;;
Melgar de Fernamental;Burgos;vie 16; ;;5% ;5;17;;
Merindad de Río Ubierna;Burgos;sáb 10;18–24 h;9°C;20% ;8;14;;
Merindad de Río Ubierna;Burgos;dom 11;00–06 h;9°C;45% ;8;14;;
Merindad de Río Ubierna;Burgos;dom 11;06–12 h;13°C;65% ;8;14;;
Merindad de Río Ubierna;Burgos;dom 11;12–18 h;10°C;100% ;8;14;;
Merindad de Río Ubierna;Burgos;dom 11;18–24 h;8°C;95% ;8;14;;
Merindad de Río Ubierna;Burgos;dom 11;00–12 h;;95% ;8;14;;
Merindad de Río Ubierna;Burgos;lun 12;12–24 h;;90% ;6;13;;
Merindad de Río Ubierna;Burgos;mar 13;00–12 h;;25% ;4;13;;
Merindad de Río Ubierna;Burgos;mar 13;12–24 h;;0% ;4;13;;
Merindad de Río Ubierna;Burgos;mié 14; ;;0% ;3;17;;
Merindad de Río Ubierna;Burgos;jue 15; ;;20% ;5;16;;
Merindad de Río Ubierna;Burgos;vie 16; ;;5% ;4;16;;
Miranda de Ebro;Burgos;sáb 10;18–24 h;12°C;5% ;9;19;;
Miranda de Ebro;Burgos;dom 11;00–06 h;9°C;30% ;8;19;;
Miranda de Ebro;Burgos;dom 11;06–12 h;17°C;40% ;8;19;;
Miranda de Ebro;Burgos;dom 11;12–18 h;13°C;90% ;8;19;;
Miranda de Ebro;Burgos;dom 11;18–24 h;10°C;85% ;8;19;;
Miranda de Ebro;Burgos;dom 11;00–12 h;;90% ;8;19;;
Miranda de Ebro;Burgos;lun 12;12–24 h;;95% ;8;17;;
Miranda de Ebro;Burgos;mar 13;00–12 h;;70% ;6;16;;
Miranda de Ebro;Burgos;mar 13;12–24 h;;0% ;6;16;;
Miranda de Ebro;Burgos;mié 14; ;;0% ;7;19;;
Miranda de Ebro;Burgos;jue 15; ;;15% ;9;18;;
Miranda de Ebro;Burgos;vie 16; ;;0% ;8;18;;
Quintanar de la Sierra;Burgos;sáb 10;18–24 h;7°C;100% ;5;11;;
Quintanar de la Sierra;Burgos;dom 11;00–06 h;7°C;65% ;6;14;;
Quintanar de la Sierra;Burgos;dom 11;06–12 h;13°C;85% ;6;14;;
Quintanar de la Sierra;Burgos;dom 11;12–18 h;11°C;100% ;6;14;;
Quintanar de la Sierra;Burgos;dom 11;18–24 h;9°C;55% ;6;14;;
Quintanar de la Sierra;Burgos;dom 11;00–12 h;;90% ;6;14;;
Quintanar de la Sierra;Burgos;lun 12;12–24 h;;90% ;5;13;;
Quintanar de la Sierra;Burgos;mar 13;00–12 h;;5% ;5;17;;
Quintanar de la Sierra;Burgos;mar 13;12–24 h;;0% ;5;17;;
Quintanar de la Sierra;Burgos;mié 14; ;;15% ;6;16;;
Quintanar de la Sierra;Burgos;jue 15; ;;65% ;6;15;;
Quintanar de la Sierra;Burgos;vie 16; ;;25% ;6;14;;
Roa;Burgos;sáb 10;18–24 h;10°C;20% ;9;13;;
Roa;Burgos;dom 11;00–06 h;9°C;70% ;9;14;;
Roa;Burgos;dom 11;06–12 h;13°C;85% ;9;14;;
Roa;Burgos;dom 11;12–18 h;11°C;100% ;9;14;;
Roa;Burgos;dom 11;18–24 h;9°C;75% ;9;14;;
Roa;Burgos;dom 11;00–12 h;;95% ;9;14;;
Roa;Burgos;lun 12;12–24 h;;90% ;6;13;;
Roa;Burgos;mar 13;00–12 h;;5% ;5;18;;
Roa;Burgos;mar 13;12–24 h;;0% ;5;18;;
Roa;Burgos;mié 14; ;;0% ;6;17;;
Roa;Burgos;jue 15; ;;5% ;7;17;;
Roa;Burgos;vie 16; ;;5% ;8;18;;
Salas de los Infantes;Burgos;sáb 10;18–24 h;9°C;100% ;7;13;;
Salas de los Infantes;Burgos;dom 11;00–06 h;8°C;65% ;7;14;;
Salas de los Infantes;Burgos;dom 11;06–12 h;13°C;80% ;7;14;;
Salas de los Infantes;Burgos;dom 11;12–18 h;12°C;100% ;7;14;;
Salas de los Infantes;Burgos;dom 11;18–24 h;10°C;65% ;7;14;;
Salas de los Infantes;Burgos;dom 11;00–12 h;;90% ;7;14;;
Salas de los Infantes;Burgos;lun 12;12–24 h;;95% ;5;14;;
Salas de los Infantes;Burgos;mar 13;00–12 h;;5% ;5;17;;
Salas de los Infantes;Burgos;mar 13;12–24 h;;0% ;5;17;;
Salas de los Infantes;Burgos;mié 14; ;;5% ;7;17;;
Salas de los Infantes;Burgos;jue 15; ;;35% ;7;16;;
Salas de los Infantes;Burgos;vie 16; ;;5% ;7;15;;
Valle de Mena;Burgos;sáb 10;18–24 h;12°C;5% ;11;20;;
Valle de Mena;Burgos;dom 11;00–06 h;13°C;15% ;11;19;;
Valle de Mena;Burgos;dom 11;06–12 h;18°C;45% ;11;19;;
Valle de Mena;Burgos;dom 11;12–18 h;14°C;95% ;11;19;;
Valle de Mena;Burgos;dom 11;18–24 h;12°C;100% ;11;19;;
Valle de Mena;Burgos;dom 11;00–12 h;;95% ;11;19;;
Valle de Mena;Burgos;lun 12;12–24 h;;100% ;9;16;;
Valle de Mena;Burgos;mar 13;00–12 h;;55% ;7;15;;
Valle de Mena;Burgos;mar 13;12–24 h;;0% ;7;15;;
Valle de Mena;Burgos;mié 14; ;;0% ;8;19;;
Valle de Mena;Burgos;jue 15; ;;0% ;11;20;;
Valle de Mena;Burgos;vie 16; ;;5% ;10;19;;
Villadiego;Burgos;sáb 10;18–24 h;9°C;15% ;8;15;;
Villadiego;Burgos;dom 11;00–06 h;9°C;45% ;7;14;;
Villadiego;Burgos;dom 11;06–12 h;13°C;70% ;7;14;;
Villadiego;Burgos;dom 11;12–18 h;10°C;100% ;7;14;;
Villadiego;Burgos;dom 11;18–24 h;8°C;100% ;7;14;;
Villadiego;Burgos;dom 11;00–12 h;;100% ;7;14;;
Villadiego;Burgos;lun 12;12–24 h;;90% ;6;12;;
Villadiego;Burgos;mar 13;00–12 h;;5% ;5;14;;
Villadiego;Burgos;mar 13;12–24 h;;0% ;5;14;;
Villadiego;Burgos;mié 14; ;;0% ;4;18;;
Villadiego;Burgos;jue 15; ;;20% ;5;17;;
Villadiego;Burgos;vie 16; ;;5% ;5;17;;
Villagonzalo Pedernales;Burgos;sáb 10;18–24 h;8°C;50% ;8;13;;
Villagonzalo Pedernales;Burgos;dom 11;00–06 h;9°C;55% ;8;13;;
Villagonzalo Pedernales;Burgos;dom 11;06–12 h;13°C;75% ;8;13;;
Villagonzalo Pedernales;Burgos;dom 11;12–18 h;10°C;100% ;8;13;;
Villagonzalo Pedernales;Burgos;dom 11;18–24 h;8°C;90% ;8;13;;
Villagonzalo Pedernales;Burgos;dom 11;00–12 h;;90% ;8;13;;
Villagonzalo Pedernales;Burgos;lun 12;12–24 h;;90% ;7;12;;
Villagonzalo Pedernales;Burgos;mar 13;00–12 h;;5% ;5;13;;
Villagonzalo Pedernales;Burgos;mar 13;12–24 h;;0% ;5;13;;
Villagonzalo Pedernales;Burgos;mié 14; ;;0% ;5;17;;
Villagonzalo Pedernales;Burgos;jue 15; ;;10% ;6;17;;
Villagonzalo Pedernales;Burgos;vie 16; ;;5% ;4;16;;
Villarcayo de Merindad de Castilla la Vieja;Burgos;sáb 10;18–24 h;10°C;5% ;9;17;;
Villarcayo de Merindad de Castilla la Vieja;Burgos;dom 11;00–06 h;12°C;15% ;8;17;;
Villarcayo de Merindad de Castilla la Vieja;Burgos;dom 11;06–12 h;15°C;40% ;8;17;;
